id,title,category,tier_num,tier_name,status,status_full,correct_answer,source_file
IM-0001,The Signal Fire,The Last Ingredient,1,SPARK,KS,Known-Solution,SIGNAL,scenarios/tier_1_spark/IM-0001.md
IM-0002,The Rising Tide,The Locked Room,1,SPARK,KS,Known-Solution,LIVE,scenarios/tier_1_spark/IM-0002.md
IM-0003,The Fabric Rope,The Wrong Toolbox,1,SPARK,KS,Known-Solution,DESCEND,scenarios/tier_1_spark/IM-0003.md
IM-0004,The Unlocked Door,The Misdirection,1,SPARK,DG,Degenerate,PUSH THE DOOR OPEN AND WALK OUT,scenarios/tier_1_spark/IM-0004.md
IM-0005,The Sawdust Bridge,The Wrong Toolbox,1,SPARK,KS,Known-Solution,"PACK SAWDUST INTO PLASTIC SHEETING TUBES TO CREATE RIGID COMPRESSION BEAMS, THEN SPAN THE GAP WITH PALLETS",scenarios/tier_1_spark/IM-0005.md
IM-0006,The Paper Prison,The Invisible Wall,1,SPARK,DG,Degenerate,PUSH THE DOOR OPEN -- IT IS CLOSED BUT NOT LOCKED,scenarios/tier_1_spark/IM-0006.md
IM-0007,The Sweet Poison,The Misdirection,1,SPARK,KS,Known-Solution,EAT NEITHER THE RED NOR THE GREEN BERRIES -- HARVEST THE CATTAILS GROWING IN THE NEARBY MARSH,scenarios/tier_1_spark/IM-0007.md
IM-0008,The Last Train,The Ticking Trade,1,SPARK,KS,Known-Solution,PARTIALLY ENGAGE THE JUNCTION SWITCH TO DERAIL THE RAILCAR INTO THE SOFT EMBANKMENT,scenarios/tier_1_spark/IM-0008.md
IM-0009,The Whistle Code,The Babel Problem,1,SPARK,KS,Known-Solution,"USE MORSE CODE TRANSMITTED VIA WHISTLE PITCHES (HIGH = DOT, LOW = DASH) TO COMMUNICATE THROUGH THE WALL",scenarios/tier_1_spark/IM-0009.md
IM-0010,The Salt Battery,The Last Ingredient,1,SPARK,KS,Known-Solution,BUILD A VOLTAIC PILE (COPPER/SALTWATER/ZINC CELLS IN SERIES) TO POWER THE EMERGENCY RADIO,scenarios/tier_1_spark/IM-0010.md
IM-0011,The Checkout Paradox,The Invisible Wall,1,SPARK,DG,Degenerate,WALK OUT THROUGH THE LOADING DOCK,scenarios/tier_1_spark/IM-0011.md
IM-0012,The Furnace Room,The Locked Room,1,SPARK,KS,Known-Solution,REMOVE THE HINGE PINS,scenarios/tier_1_spark/IM-0012.md
IM-0013,The Newspaper Shelter,The Wrong Toolbox,1,SPARK,KS,Known-Solution,BUILD INSULATED SHELTER USING NEWSPAPER INSIDE GARBAGE BAGS,scenarios/tier_1_spark/IM-0013.md
IM-0014,The Sinking Fix,The Cascade,1,SPARK,KS,Known-Solution,"BAIL WATER FIRST, THEN SCULL TO SHORE WITH ONE OAR, THEN FIX THE LEAK ON LAND",scenarios/tier_1_spark/IM-0014.md
IM-0015,The Capillary Climb,The Lilliput Conundrum,1,SPARK,KS,Known-Solution,"RIDE THE CAPILLARY MENISCUS UPWARD -- AT 1MM SCALE, SURFACE TENSION DOMINATES AND WATER CLIMBS THE TUBE AUTOMATICALLY",scenarios/tier_1_spark/IM-0015.md
IM-0016,The Water Wheel,The Ghost Machine,1,SPARK,KS,Known-Solution,"THE WHEEL IS AN OVERSHOT WATER WHEEL DRIVEN BY GRAVITY VIA A FLUME, NOT BY THE STREAM CURRENT",scenarios/tier_1_spark/IM-0016.md
IM-0017,The Emergency Exit,The Invisible Wall,1,SPARK,DG,Degenerate,USE THE FIRE EXIT AT THE END OF CORRIDOR B,scenarios/tier_1_spark/IM-0017.md
IM-0018,The Broken Clock,The Memory Palace,1,SPARK,KS,Known-Solution,"USE THE STOPPED CLOCK TIME (3:47) AS AN INDEX -- BOOK 3, CHAPTER 4, PAGE 7 CONTAINS A KEY TAPED INSIDE",scenarios/tier_1_spark/IM-0018.md
IM-0019,The Smoke Signal,The Babel Problem,1,SPARK,KS,Known-Solution,"BUILD A DRY WOOD FIRE, ADD GREEN LEAVES FOR WHITE SMOKE, USE DAMP TARP TO CREATE THREE DISTINCT PUFFS",scenarios/tier_1_spark/IM-0019.md
IM-0020,The Mud Mortar,The Last Ingredient,1,SPARK,KS,Known-Solution,USE WATTLE-AND-DAUB TECHNIQUE -- PACK CLAY-RICH MUD MIXED WITH GRASS FIBERS BETWEEN LAYERS TO BUILD A COMPACTED BERM,scenarios/tier_1_spark/IM-0020.md
IM-0021,The Fog Signal,The Babel Problem,1,SPARK,KS,Known-Solution,USE STANDARD MARITIME HORN SIGNALS (COLREGS) TO COMMUNICATE INTENTIONS AND AVOID COLLISION,scenarios/tier_1_spark/IM-0021.md
IM-0022,The Smoke Detector,The Misdirection,1,SPARK,DG,Degenerate,"TRIGGER A SMOKE DETECTOR TO ACTIVATE THE FIRE ALARM, WHICH AUTO-UNLOCKS ALL FIRE DOORS",scenarios/tier_1_spark/IM-0022.md
IM-0023,The Citrus Degreaser,The Last Ingredient,1,SPARK,KS,Known-Solution,"USE LEMON PEEL (D-LIMONENE) AS A NATURAL DEGREASER, THEN BAKING SODA PASTE FOR ABRASION; VINEGAR IS A DISTRACTOR",scenarios/tier_1_spark/IM-0023.md
IM-0024,The Rattling Pipe,The Ghost Machine,1,SPARK,KS,Known-Solution,WATER HAMMER,scenarios/tier_1_spark/IM-0024.md
IM-0025,The River Crossing,The Babel Problem,1,SPARK,KS,Known-Solution,USE PHYSICAL DEMONSTRATION AND IMITATION TO COORDINATE ROWING,scenarios/tier_1_spark/IM-0025.md
IM-0026,The Cattail Torch,The Last Ingredient,1,SPARK,KS,Known-Solution,SOAK CATTAIL SEED HEADS IN RENDERED FAT AND USE AS A TORCH,scenarios/tier_1_spark/IM-0026.md
IM-0027,The Birch Bark Fire,The Last Ingredient,1,SPARK,KS,Known-Solution,"STRIKE THE STEEL KNIFE AGAINST THE FLINT TO PRODUCE SPARKS. USE THE SPARKS TO IGNITE THE BIRCH BARK, WHICH CONTAINS HIGHLY FLAMMABLE BIRCH OIL.",scenarios/tier_1_spark/IM-0027.md
IM-0028,The Revolving Door,The Invisible Wall,1,SPARK,DG,Degenerate,PUSH THE REVOLVING DOOR MANUALLY OR FOLD THE BREAKAWAY PANELS FLAT FOR EMERGENCY EGRESS,scenarios/tier_1_spark/IM-0028.md
IM-0029,The Egg Carton Armor,The Wrong Toolbox,1,SPARK,KS,Known-Solution,"USE EGG CARTONS AS IMPACT-ABSORBING PACKAGING, CRUMPLED NEWSPAPER AS GAP-FILLING CUSHION, AND STRING TO SECURE THE BUNDLES.",scenarios/tier_1_spark/IM-0029.md
IM-0030,The Cork Float,The Wrong Toolbox,1,SPARK,KS,Known-Solution,USE THE MAGNET ON A STRING TO RETRIEVE THE KEYS,scenarios/tier_1_spark/IM-0030.md
IM-0031,The Light Signal,The Babel Problem,1,SPARK,KS,Known-Solution,FLASH IN PATTERNS TO COMMUNICATE,scenarios/tier_1_spark/IM-0031.md
IM-0032,The Boat Shed,The Locked Room,1,SPARK,KS,Known-Solution,EXIT THROUGH THE FLOOR INTO THE WATER BELOW,scenarios/tier_1_spark/IM-0032.md
IM-0033,The Mushroom Compass,The Last Ingredient,1,SPARK,KS,Known-Solution,"USE MOSS AND MUSHROOM GROWTH PATTERNS ON MULTIPLE TREES TO DETERMINE NORTH (NORTHERN HEMISPHERE), THEN NAVIGATE BY DIRECTION",scenarios/tier_1_spark/IM-0033.md
IM-0034,The Plantain Bandage,The Last Ingredient,1,SPARK,KS,Known-Solution,CRUSH A PLANTAIN LEAF (PLANTAGO MAJOR) AND APPLY DIRECTLY TO THE WOUND AS A POULTICE,scenarios/tier_1_spark/IM-0034.md
IM-0035,The Skylight Escape,The Locked Room,1,SPARK,KS,Known-Solution,"DRIVE THE FORKLIFT UNDER THE SKYLIGHT, RAISE THE FORKS TO MAXIMUM HEIGHT, CLIMB THE FORKS, AND EXIT THROUGH THE SKYLIGHT",scenarios/tier_1_spark/IM-0035.md
IM-0036,The Soap Boat,The Lilliput Conundrum,1,SPARK,KS,Known-Solution,"USE THE MARANGONI EFFECT -- SOAP REDUCES SURFACE TENSION BEHIND YOU, PULLING YOU FORWARD",scenarios/tier_1_spark/IM-0036.md
IM-0037,The Battery Recall,The Ticking Trade,1,SPARK,KS,Known-Solution,DRIVE DOWN THE MOUNTAIN -- REGENERATIVE BRAKING WILL RECHARGE THE BATTERY,scenarios/tier_1_spark/IM-0037.md
IM-0038,The Tallow Candle,The Wrong Toolbox,1,SPARK,KS,Known-Solution,RENDER THE ANIMAL FAT INTO TALLOW AND MAKE A CANDLE WITH A COTTON WICK IN A TIN CAN,scenarios/tier_1_spark/IM-0038.md
IM-0039,The Urine Compass,The Last Ingredient,1,SPARK,KS,Known-Solution,USE STICK SHADOW METHOD TO DETERMINE EAST-WEST LINE,scenarios/tier_1_spark/IM-0039.md
IM-0040,The Gym Membership,The Invisible Wall,1,SPARK,DG,Degenerate,WALK OUT THROUGH THE GYM'S GROUND-FLOOR EXIT,scenarios/tier_1_spark/IM-0040.md
IM-0041,The Drain Escape,The Locked Room,1,SPARK,KS,Known-Solution,REMOVE THE FLOOR DRAIN GRATE AND EXIT THROUGH THE SEWER PIPE,scenarios/tier_1_spark/IM-0041.md
IM-0042,The Mud Brick,The Wrong Toolbox,1,SPARK,KS,Known-Solution,"MAKE ADOBE BRICKS FROM CLAY SOIL, STRAW, AND WATER",scenarios/tier_1_spark/IM-0042.md
IM-0043,The Willow Bark Tea,The Last Ingredient,1,SPARK,KS,Known-Solution,"BREW TEA FROM WILLOW BARK -- IT CONTAINS SALICIN, THE NATURAL PRECURSOR TO ASPIRIN, WHICH PROVIDES EFFECTIVE PAIN RELIEF",scenarios/tier_1_spark/IM-0043.md
IM-0044,The Lantern Signal,The Babel Problem,1,SPARK,KS,Known-Solution,SIGNAL THE RESCUE BOAT USING THE LANTERN IN A RECOGNIZABLE PATTERN,scenarios/tier_1_spark/IM-0044.md
IM-0045,The Greenhouse Vent,The Locked Room,1,SPARK,KS,Known-Solution,CRANK OPEN A ROOF VENT AND CLIMB OUT THROUGH THE ROOF,scenarios/tier_1_spark/IM-0045.md
IM-0046,The Broken Thermometer,The Misdirection,1,SPARK,KS,Known-Solution,THE PATIENT HAS A FEVER -- 98.6F IS ABOVE THEIR INDIVIDUAL BASELINE OF 97.0F,scenarios/tier_1_spark/IM-0046.md
IM-0047,The Pine Needle Tea,The Last Ingredient,1,SPARK,KS,Known-Solution,BREW TEA FROM FRESH PINE NEEDLES TO TREAT VITAMIN C DEFICIENCY,scenarios/tier_1_spark/IM-0047.md
IM-0048,The Fire Code Door,The Invisible Wall,1,SPARK,KS,Known-Solution,USE THE FIRE EXIT DOORS -- THEY ARE ALWAYS UNLOCKED FROM THE INSIDE BY LAW,scenarios/tier_1_spark/IM-0048.md
IM-0049,The Cob Wall,The Wrong Toolbox,1,SPARK,KS,Known-Solution,"BUILD A COB WALL FROM CLAY SOIL, SAND, STRAW, AND WATER",scenarios/tier_1_spark/IM-0049.md
IM-0050,The Ant Raft,The Lilliput Conundrum,1,SPARK,KS,Known-Solution,"FORM A LIVING RAFT BY LINKING BODIES TOGETHER -- TRAPPED AIR BETWEEN BODIES PROVIDES BUOYANCY, HYDROPHOBIC OUTER LAYER REPELS WATER",scenarios/tier_1_spark/IM-0050.md
IM-0051,The Loading Dock,The Invisible Wall,1,SPARK,DG,Degenerate,WALK OUT THROUGH DOCK C -- THE OVERHEAD DOOR IS OPEN FOR A SCHEDULED DELIVERY,scenarios/tier_1_spark/IM-0051.md
IM-0052,The Basement Window,The Locked Room,1,SPARK,KS,Known-Solution,EXIT THROUGH THE EGRESS WINDOW,scenarios/tier_1_spark/IM-0052.md
IM-0053,The Overflow Cascade,The Cascade,1,SPARK,KS,Known-Solution,TURN OFF THE MAIN WATER SHUTOFF VALVE,scenarios/tier_1_spark/IM-0053.md
IM-0054,The River Stone,The Babel Problem,1,SPARK,KS,Known-Solution,SEND A WATERPROOF MESSAGE DOWNSTREAM VIA THE RIVER CURRENT,scenarios/tier_1_spark/IM-0054.md
IM-0055,The Radiometer Puzzle,The Ghost Machine,1,SPARK,KS,Known-Solution,"THE CROOKES RADIOMETER SPINS DUE TO THERMAL TRANSPIRATION AT VANE EDGES, NOT PHOTON PRESSURE",scenarios/tier_1_spark/IM-0055.md
IM-0056,The Wattle Fence,The Wrong Toolbox,1,SPARK,KS,Known-Solution,BUILD A WATTLE FENCE BY WEAVING FLEXIBLE BRANCHES BETWEEN DRIVEN UPRIGHTS,scenarios/tier_1_spark/IM-0056.md
IM-0057,The Water Heater,The Cascade,1,SPARK,KS,Known-Solution,THAW THE FROZEN PIPE FIRST -- IT IS UPSTREAM OF THE WATER HEATER AND BLOCKING ALL WATER FLOW,scenarios/tier_1_spark/IM-0057.md
IM-0058,The Water Tower,The Ticking Trade,1,SPARK,KS,Known-Solution,PARTIALLY DRAIN THE TOWER TO BELOW THE LEAK LEVEL -- MAINTAIN WATER SERVICE WHILE ENABLING INTERIOR REPAIR,scenarios/tier_1_spark/IM-0058.md
IM-0059,The Dock Leaf,The Last Ingredient,1,SPARK,KS,Known-Solution,CRUSH A DOCK LEAF AND RUB THE SAP ON THE NETTLE STING,scenarios/tier_1_spark/IM-0059.md
IM-0060,The Laundry Chute,The Locked Room,1,SPARK,KS,Known-Solution,ESCAPE VIA LAUNDRY CHUTE,scenarios/tier_1_spark/IM-0060.md
IM-0061,The Vinegar Battery,The Cascade,1,SPARK,KS,Known-Solution,"FIX CORRODED CONTACTS FIRST, THEN TEST BATTERIES, THEN IMPROVISE IF NEEDED",scenarios/tier_1_spark/IM-0061.md
IM-0062,The Plantago Poultice,The Last Ingredient,1,SPARK,KS,Known-Solution,APPLY A CRUSHED PLANTAGO MAJOR (BROADLEAF PLANTAIN) LEAF POULTICE TO THE STING,scenarios/tier_1_spark/IM-0062.md
IM-0063,The Blast Room,The Locked Room,2,FRACTURE,KS,Known-Solution,LIVE,scenarios/tier_2_fracture/IM-0063.md
IM-0064,The Cold Lock,The Locked Room,2,FRACTURE,KS,Known-Solution,LIVE,scenarios/tier_2_fracture/IM-0064.md
IM-0065,The Smoke Signal,The Locked Room,2,FRACTURE,KS,Known-Solution,LIVE,scenarios/tier_2_fracture/IM-0065.md
IM-0066,The Paper Bridge,The Wrong Toolbox,2,FRACTURE,KS,Known-Solution,CROSS,scenarios/tier_2_fracture/IM-0066.md
IM-0067,The Gas Mask Trap,The Misdirection,2,FRACTURE,KS,Known-Solution,GET LOW AND BREATHE NEAR THE FLOOR,scenarios/tier_2_fracture/IM-0067.md
IM-0068,The Tunnel Split,The Babel Problem,2,FRACTURE,KS,Known-Solution,BOTH SURVIVORS EXIT THE TUNNEL,scenarios/tier_2_fracture/IM-0068.md
IM-0069,The Drone Decision,The Ticking Trade,2,FRACTURE,KS,Known-Solution,SAVE BOTH CARGO AND LIVES (Option C),scenarios/tier_2_fracture/IM-0069.md
IM-0070,The Giant's Staircase,The Lilliput Conundrum,2,FRACTURE,KS,Known-Solution,TRAVERSE,scenarios/tier_2_fracture/IM-0070.md
IM-0071,The Spinning Wheel,The Ghost Machine,2,FRACTURE,KS,Known-Solution,EXPLAIN,scenarios/tier_2_fracture/IM-0071.md
IM-0072,The Missing Catalyst,The Last Ingredient,2,FRACTURE,KS,Known-Solution,NEUTRALIZE,scenarios/tier_2_fracture/IM-0072.md
IM-0073,The Broken Compass,The Last Ingredient,2,FRACTURE,KS,Known-Solution,NAVIGATE,scenarios/tier_2_fracture/IM-0073.md
IM-0074,The Fire Exit Paradox,The Invisible Wall,2,FRACTURE,KS,Known-Solution,ESCAPE,scenarios/tier_2_fracture/IM-0074.md
IM-0075,The Shelf Code,The Memory Palace,2,FRACTURE,KS,Known-Solution,1450,scenarios/tier_2_fracture/IM-0075.md
IM-0076,The Drowning Archive,The Locked Room,2,FRACTURE,KS,Known-Solution,"USE THE CO2 FIRE EXTINGUISHER TO FREEZE WATER AROUND THE DOOR SEAL, THEN OPEN THE DOOR",scenarios/tier_2_fracture/IM-0076.md
IM-0077,The Sleeping Compass,The Misdirection,2,FRACTURE,KS,Known-Solution,REMOVE THE HIDDEN MAGNET FROM THE COMPASS HOUSING -- THE COMPASS ITSELF IS FUNCTIONAL,scenarios/tier_2_fracture/IM-0077.md
IM-0078,The Pipe Organ,The Cascade,2,FRACTURE,CT,Contested,"REPAIR SEQUENCE: DAMPER FIRST, THEN COOLANT, THEN INTAKE (OR: COOLANT FIRST WITH PARTIAL DAMPER, THEN FULL DAMPER, THEN INTAKE)",scenarios/tier_2_fracture/IM-0078.md
IM-0079,The Chalk Line,The Babel Problem,2,FRACTURE,KS,Known-Solution,USE WALL STUDS AS SHARED REFERENCE POINTS TO ESTABLISH A BINARY TAP CODE FOR WIRE IDENTIFICATION AND CUTTING INSTRUCTIONS,scenarios/tier_2_fracture/IM-0079.md
IM-0080,The Coin Flip,The Ticking Trade,2,FRACTURE,KS,Known-Solution,"REMOVE THE BACKUP BATTERY TO DISABLE THE AUTOMATED SYSTEM, THEN DISARM IT COMPLETELY -- SAVING BOTH ROOMS",scenarios/tier_2_fracture/IM-0080.md
IM-0081,The Clockwork Heart,The Ghost Machine,2,FRACTURE,KS,Known-Solution,THE CLOCK IS AN ATMOS-TYPE MECHANISM POWERED BY ATMOSPHERIC TEMPERATURE FLUCTUATIONS ACTING ON BIMETALLIC STRIPS IN THE CASE,scenarios/tier_2_fracture/IM-0081.md
IM-0082,The Missing Catalyst,The Last Ingredient,2,FRACTURE,KS,Known-Solution,"USE SODIS (SOLAR WATER DISINFECTION) -- FILL CLEAR BOTTLES, PLACE ON REFLECTIVE EMERGENCY BLANKET WITH BLACK FABRIC UNDERNEATH, EXPOSE TO SUNLIGHT FOR 2-4 HOURS",scenarios/tier_2_fracture/IM-0082.md
IM-0083,The Rosetta Stone,The Memory Palace,2,FRACTURE,KS,Known-Solution,THE CODE IS DERIVED FROM THE NUMBER OF SYLLABLES IN EACH COLOR NAME AT PRIME-NUMBERED POSITIONS: THE CODE IS 2213,scenarios/tier_2_fracture/IM-0083.md
IM-0084,The Rubber Hammer,The Wrong Toolbox,2,FRACTURE,KS,Known-Solution,"FILL THE GLASS JAR WITH WATER, SEAL IT, AND USE IT AS AN INCOMPRESSIBLE HAMMER TO DRIVE THE NAIL",scenarios/tier_2_fracture/IM-0084.md
IM-0085,The Signal Tower,The Babel Problem,2,FRACTURE,KS,Known-Solution,USE THE SUN'S POSITION AS A SHARED REFERENCE CLOCK TO ESTABLISH DIRECTIONAL SIGNALING,scenarios/tier_2_fracture/IM-0085.md
IM-0086,The Flea Circus,The Lilliput Conundrum,2,FRACTURE,KS,Known-Solution,ROLL THE CRYSTAL USING A PAPERCLIP WIRE RAMP AND EXPLOIT FAVORABLE SCALING OF DRAG FORCES,scenarios/tier_2_fracture/IM-0086.md
IM-0087,The Maze of Mirrors,The Invisible Wall,2,FRACTURE,KS,Known-Solution,FEEL FOR INVISIBLE GLASS DOOR HANDLES -- THE WALLS ARE HINGED GLASS DOORS WITH TRANSPARENT HANDLES,scenarios/tier_2_fracture/IM-0087.md
IM-0088,The Honey Trap,The Misdirection,2,FRACTURE,KS,Known-Solution,USE THE BEESWAX BLOCK (NOT THE HONEY) TO SEAL THE CRACKED PIPE,scenarios/tier_2_fracture/IM-0088.md
IM-0089,The Singing Wire,The Ghost Machine,2,FRACTURE,KS,Known-Solution,MAGNETOSTRICTION CAUSED BY ALTERNATING MAGNETIC FIELD FROM NEARBY POWER LINES,scenarios/tier_2_fracture/IM-0089.md
IM-0090,The Ash Concrete,The Last Ingredient,2,FRACTURE,KS,Known-Solution,MIX WOOD ASH WITH SAND AND WATER TO CREATE A POZZOLANIC CEMENT BARRIER,scenarios/tier_2_fracture/IM-0090.md
IM-0091,The Submarine Garden,The Locked Room,2,FRACTURE,KS,Known-Solution,"USE THE CHAIN WRAPPED AROUND THE WHEEL AS A FORCE MULTIPLIER, WITH THE RUBBER BOOT FOR GRIP, TO TURN THE ESCAPE HATCH",scenarios/tier_2_fracture/IM-0091.md
IM-0092,The Avalanche Valve,The Cascade,2,FRACTURE,KS,Known-Solution,"USE BODY HEAT AND BLANKET INSULATION TO THAW A SMALL PIPE SECTION, GET WATER FOR ICE WINDOW SEAL, THEN LET THE WARMER ROOM THAW MORE PIPES NATURALLY",scenarios/tier_2_fracture/IM-0092.md
IM-0093,The Spider's Crane,The Lilliput Conundrum,2,FRACTURE,KS,Known-Solution,USE SILK THREADS AS A PULLEY SYSTEM ANCHORED TO GRASS BLADES TO LIFT AND MOVE THE INSECT CARCASS,scenarios/tier_2_fracture/IM-0093.md
IM-0094,The Mercury Switch,The Ticking Trade,2,FRACTURE,PX,Paradox,THIS TASK IS PHYSICALLY IMPOSSIBLE. PROVE IMPOSSIBILITY AND IDENTIFY THE BINDING CONSTRAINT.,scenarios/tier_2_fracture/IM-0094.md
IM-0095,The Star Chart,The Memory Palace,2,FRACTURE,KS,Known-Solution,4173852,scenarios/tier_2_fracture/IM-0095.md
IM-0096,The Trolley Bypass,The Ticking Trade,2,FRACTURE,KS,Known-Solution,CLOSE BOTH VALVES TO DIVERT CHEMICAL INTO THE UPSTREAM CONTAINMENT BASIN,scenarios/tier_2_fracture/IM-0096.md
IM-0097,The Magnetic Spinner,The Ghost Machine,2,FRACTURE,PX,Paradox,IMPOSSIBLE -- the claimed perpetual acceleration violates conservation of energy. A hidden energy source (electromagnet) must exist.,scenarios/tier_2_fracture/IM-0097.md
IM-0098,The Vinegar Engine,The Last Ingredient,2,FRACTURE,KS,Known-Solution,USE VINEGAR TO DISSOLVE COPPER OXIDE CORROSION FROM ELECTRICAL CONTACTS,scenarios/tier_2_fracture/IM-0098.md
IM-0099,The Firewall Walk,The Invisible Wall,2,FRACTURE,KS,Known-Solution,USE THE MANUAL FIRE EXIT OVERRIDE HANDLES REQUIRED BY BUILDING CODE,scenarios/tier_2_fracture/IM-0099.md
IM-0100,The Elevator Shaft,The Locked Room,2,FRACTURE,KS,Known-Solution,"USE THE UMBRELLA TO OPEN THE CEILING HATCH, CLIMB OUT TO THE SHAFT, AND ACCESS THE SHAFT-SIDE DOOR",scenarios/tier_2_fracture/IM-0100.md
IM-0101,The Dental Dam,The Wrong Toolbox,2,FRACTURE,KS,Known-Solution,"CUT AND STRETCH THE BICYCLE INNER TUBE OVER THE CRACK, LETTING WATER PRESSURE CREATE THE SEAL",scenarios/tier_2_fracture/IM-0101.md
IM-0102,The Morse Mirror,The Babel Problem,2,FRACTURE,KS,Known-Solution,FLASH SOS IN MORSE CODE -- THE PATTERN ITSELF SIGNALS INTELLIGENCE EVEN TO RECEIVERS WHO DO NOT KNOW MORSE,scenarios/tier_2_fracture/IM-0102.md
IM-0103,The Decoy Door,The Misdirection,2,FRACTURE,KS,Known-Solution,"USE THE UNMARKED DOOR -- THE EXIT SIGN IS A TRAP, THE ENVIRONMENTAL CUES (ARCING, EXPOSED WIRES) INDICATE THE MARKED DOOR IS ELECTRIFIED",scenarios/tier_2_fracture/IM-0103.md
IM-0104,The Thermostat War,The Cascade,2,FRACTURE,KS,Known-Solution,CREATE A THERMAL GRADIENT VIA PARTIAL ONE-SIDED VENTING,scenarios/tier_2_fracture/IM-0104.md
IM-0105,The Matchless Furnace,The Last Ingredient,2,FRACTURE,KS,Known-Solution,USE EXOTHERMIC REACTION OF CALCIUM OXIDE (QUICKLIME) AND WATER TO GENERATE HEAT,scenarios/tier_2_fracture/IM-0105.md
IM-0106,The Cardboard Bridge,The Wrong Toolbox,2,FRACTURE,KS,Known-Solution,"CONSTRUCT TRIANGULAR TUBE BEAMS FROM CORRUGATED CARDBOARD, WATERPROOF WITH PLASTIC BAGS, AND SPAN THE STREAM",scenarios/tier_2_fracture/IM-0106.md
IM-0107,The Frozen Lock,The Locked Room,2,FRACTURE,KS,Known-Solution,"USE COOKING OIL TO DISPLACE ICE FROM THE LOCK MECHANISM, THEN IGNITE STEEL WOOL WITH MATCHES TO WARM THE HANDLE",scenarios/tier_2_fracture/IM-0107.md
IM-0108,The Tin Can Radio,The Wrong Toolbox,2,FRACTURE,KS,Known-Solution,"BUILD A FIELD TELEPHONE USING MAGNETS AND COPPER COIL, NOT A TIN-CAN-AND-STRING PHONE",scenarios/tier_2_fracture/IM-0108.md
IM-0109,The Quicksand Myth,The Misdirection,2,FRACTURE,KS,Known-Solution,"LEAN BACK TO INCREASE SURFACE AREA, WIGGLE LEGS SLOWLY TO INTRODUCE WATER, THEN BACKSTROKE TO SOLID GROUND",scenarios/tier_2_fracture/IM-0109.md
IM-0110,The Lighthouse Code,The Babel Problem,2,FRACTURE,KS,Known-Solution,FLASH SOS WITH THE SEARCHLIGHT -- THE KEEPER WILL RECOGNIZE THE UNIVERSAL DISTRESS PATTERN AND CALL THE COAST GUARD,scenarios/tier_2_fracture/IM-0110.md
IM-0111,The Raindrop Mountain,The Lilliput Conundrum,2,FRACTURE,KS,Known-Solution,"VIBRATE THE LEAF BY RHYTHMICALLY STRIKING IT TO INDUCE RESONANCE, CAUSING THE RAINDROP TO ROLL AWAY",scenarios/tier_2_fracture/IM-0111.md
IM-0112,The Crystal Radio,The Ghost Machine,2,FRACTURE,KS,Known-Solution,THE RADIO WORKS WITHOUT EXTERNAL POWER BECAUSE IT IS A CRYSTAL RADIO -- IT HARVESTS ENERGY DIRECTLY FROM THE INCOMING RADIO WAVES,scenarios/tier_2_fracture/IM-0112.md
IM-0113,The Locked PDF,The Invisible Wall,2,FRACTURE,MT,Metamorphic,THE SAFETY INFORMATION IS LEGALLY REQUIRED TO BE PHYSICALLY POSTED IN THE FACILITY -- LOOK FOR THE MANDATORY PHYSICAL POSTINGS,scenarios/tier_2_fracture/IM-0113.md
